ID,cg,y,bv
239,group_1,0.4166197967750084,2.0931968092097026
240,group_4,1.4661254441588094,2.82771877766265
241,group_1,1.6849398775816868,2.4108709696430033
242,group_1,1.5242042765887769,2.150189772369682
243,group_3,4.261318649830525,3.0105864369479587
244,group_2,3.861586082709117,2.7491615809449543
245,group_4,3.0101814067109856,2.0683340284840983
246,group_2,2.29213997150202,1.9198384600342435
247,group_2,3.557188480409157,3.1338544122451824
248,group_4,3.09799373668758,2.8278958801954523
249,group_2,2.0160448325587117,2.8203479301120575
250,group_3,3.2159616489573013,2.0554530415652796
251,group_4,2.832349624782403,2.4724748741672524
252,group_4,3.1276639598269895,2.1092135127449607
253,group_1,2.524889361608711,2.112193082700082
254,group_2,2.995851923869618,2.532714312352151
255,group_2,1.7829808478164555,1.4689134049896193
256,group_2,2.9661902698311216,2.346360701321419
257,group_3,1.9648065452017014,1.7960875920519486
258,group_4,4.133298925437502,3.358204882192681
259,group_4,3.5619456788557917,2.8602194403581764
260,group_2,4.6583952451345,3.210354258586894
261,group_1,3.150526469678199,3.3604860459296844
262,group_2,2.949719949914204,1.6743966976112927
263,group_4,3.3605452492604093,3.1812564891485207
264,group_3,4.132366530473963,3.2426713791116866
265,group_2,4.7231345782376914,3.0374169101525053
266,group_4,2.5363035145464097,1.6939064746216728
267,group_4,2.581230324947004,2.6586665065264734
268,group_3,1.18243285461474,1.8201201272705454
269,group_4,2.916803934140042,2.146820712375977
270,group_4,2.321517730243474,1.736160775987963
271,group_1,1.7832267783747027,2.5608426583550554
272,group_2,2.007239818044434,2.699998337138437
273,group_3,5.086691302089251,3.3717029780307652
274,group_2,1.9578253190813188,0.9950771881432313
275,group_2,2.2406343034199843,2.1328616019722566
276,group_2,3.545563676270992,3.32803341062252
277,group_1,2.3254526372581044,3.147239592940013
278,group_1,0.253376709329872,2.3995618462271193
279,group_1,-0.5052236794793971,1.749828921240047
280,group_1,1.229678523517474,2.718263076152355
281,group_2,3.680459128563539,2.3978643127642414
282,group_3,3.920504121123712,3.335663043735117
283,group_2,3.1414638902076266,3.178927937724856
284,group_4,4.730218483244018,3.4312786315914603
285,group_3,2.4396796405216343,2.398753817920384
286,group_2,2.280000341164488,1.1755228727838998
287,group_4,1.1686710183444584,0.6276874167888858
288,group_3,2.367179035344182,2.6088820213094848
289,group_3,2.3671905569052765,2.0981526723161323
290,group_2,3.2033853062268776,2.3648200253005296
291,group_2,5.078312733208746,3.8085238827484966
292,group_1,2.54591908445993,3.0895418925108826
293,group_3,0.3041153336751121,1.2879985997430865
294,group_4,2.843685042811238,3.322883899260496
295,group_2,4.002496256735325,2.1732686403011705
296,group_2,3.8251993558306085,3.134380244178327
297,group_2,5.616639735434951,3.135878217239404
298,group_3,1.7304316880234523,1.1971138728030246
299,group_4,1.9986217509332482,2.481322347156627
